compound_name,l,b1,b5,l_2,b1_2,b5_2,cfbr3,phosphorus,c13,solvent,temp,time_min,e_y,z_y
"1,2,3,4-tetrahydronaphthalene-1-carbaldehyde",5.43,1.98,6.26,4.59,1.67,6.81,2.5,5,202.22,1.9197,0,0,0,0
"1,2,3,4-tetrahydronaphthalene-1-carbaldehyde",5.43,1.98,6.26,4.59,1.67,6.81,2.5,5,202.22,1.9197,25,0,0,0
"1,2,3,4-tetrahydronaphthalene-1-carbaldehyde",5.43,1.98,6.26,4.59,1.67,6.81,2.5,5,202.22,1.9197,25,30,9.2,0
"1,2,3,4-tetrahydronaphthalene-1-carbaldehyde",5.43,1.98,6.26,4.59,1.67,6.81,2.5,5,202.22,1.9197,25,120,40.7,1.1
"1,2,3,4-tetrahydronaphthalene-1-carbaldehyde",5.43,1.98,6.26,4.59,1.67,6.81,2.5,5,202.22,1.9197,25,240,56.6,1.3
"1,2,3,4-tetrahydronaphthalene-1-carbaldehyde",5.43,1.98,6.26,4.59,1.67,6.81,2.5,5,202.22,1.9197,50,0,0,0
11-bromoundecanal,15.02,1.96,8.64,2.6,1.65,10.61,2.5,5,203.04,1.9197,0,0,0,0
11-bromoundecanal,15.02,1.96,8.64,2.6,1.65,10.61,2.5,5,203.04,1.9197,25,0,0,0
11-bromoundecanal,15.02,1.96,8.64,2.6,1.65,10.61,2.5,5,203.04,1.9197,25,90,67.4,5.8
11-bromoundecanal,15.02,1.96,8.64,2.6,1.65,10.61,2.5,5,203.04,1.9197,25,150,73.6,8.4
11-bromoundecanal,15.02,1.96,8.64,2.6,1.65,10.61,2.5,5,203.04,1.9197,25,210,73.1,9.9
11-bromoundecanal,15.02,1.96,8.64,2.6,1.65,10.61,2.5,5,203.04,1.9197,50,0,0,0
1-benzylindole-3-carboxaldehyde,10.22,1.89,6.03,2.65,1.62,10.23,2.5,5,184.6,1.9197,0,0,0,0
1-benzylindole-3-carboxaldehyde,10.22,1.89,6.03,2.65,1.62,10.23,2.5,5,184.6,1.9197,25,0,0,0
1-benzylindole-3-carboxaldehyde,10.22,1.89,6.03,2.65,1.62,10.23,2.5,5,184.6,1.9197,25,120,55.5,15.5
2-(4-bromophenyl)-2-methylpropanal,5.45,2.86,7.88,3.07,2.01,8.63,2.5,5,201.6,1.9197,0,0,0,0
2-(4-bromophenyl)-2-methylpropanal,5.45,2.86,7.88,3.07,2.01,8.63,2.5,5,201.6,1.9197,25,30,10.1,0
2-(4-bromophenyl)-2-methylpropanal,5.45,2.86,7.88,3.07,2.01,8.63,2.5,5,201.6,1.9197,25,120,48,0
2-(4-bromophenyl)-2-methylpropanal,5.45,2.86,7.88,3.07,2.01,8.63,2,4,201.6,1.9197,25,540,77.22,0.78
2-(4-bromophenyl)-2-methylpropanal,5.45,2.86,7.88,3.07,2.01,8.63,2.5,5,201.6,1.9197,50,0,0,0
"2,2,2-trifluoroacetophenone",6.85,2.01,3.83,3.91,2.09,5.77,2.5,5,180.7,1.9197,0,0,0,0
"2,2,2-trifluoroacetophenone",6.85,2.01,3.83,3.91,2.09,5.77,2.5,5,180.7,1.9197,25,0,0,0
"2,2,2-trifluoroacetophenone",6.85,2.01,3.83,3.91,2.09,5.77,2.5,5,180.7,1.9197,50,0,0,0
"2,2,2-trifluoroacetophenone",6.85,2.01,3.83,3.91,2.09,5.77,2.5,5,180.7,1.9197,50,30,5.6,4.3
"2,2,2-trifluoroacetophenone",6.85,2.01,3.83,3.91,2.09,5.77,2.5,5,180.7,1.9197,50,115,25.3,12
"2,2,2-trifluoroacetophenone",6.85,2.01,3.83,3.91,2.09,5.77,2.5,5,180.7,1.9197,50,270,54.3,22.7
2-benzofurancarboxaldehyde,8.54,1.7,4.08,2.6,1.58,7.96,2.5,5,179.8,1.9197,0,0,0,0
2-benzofurancarboxaldehyde,8.54,1.7,4.08,2.6,1.58,7.96,2.5,5,179.8,1.9197,25,0,0,0
2-benzofurancarboxaldehyde,8.54,1.7,4.08,2.6,1.58,7.96,2.5,5,179.8,1.9197,25,30,55.1,5.6
2-benzofurancarboxaldehyde,8.54,1.7,4.08,2.6,1.58,7.96,2.5,5,179.8,1.9197,25,120,56,11.9
2-benzofurancarboxaldehyde,8.54,1.7,4.08,2.6,1.58,7.96,2.5,5,179.8,1.9197,50,0,0,0
3-methylthiophene-2-carboxaldehyde,6.26,1.78,4.29,2.6,1.71,5.94,2.5,5,182.5,1.9197,0,0,0,0
3-methylthiophene-2-carboxaldehyde,6.26,1.78,4.29,2.6,1.71,5.94,2.5,5,182.5,1.9197,25,0,0,0
3-methylthiophene-2-carboxaldehyde,6.26,1.78,4.29,2.6,1.71,5.94,2.5,5,182.5,1.9197,25,30,25.5,1.6
3-methylthiophene-2-carboxaldehyde,6.26,1.78,4.29,2.6,1.71,5.94,2.5,5,182.5,1.9197,25,120,40.4,4.1
3-methylthiophene-2-carboxaldehyde,6.26,1.78,4.29,2.6,1.71,5.94,2.5,5,182.5,1.9197,25,240,44,8.8
3-methylthiophene-2-carboxaldehyde,6.26,1.78,4.29,2.6,1.71,5.94,2.5,5,182.5,1.9197,50,0,0,0
4'-bromoacetophenone,8.44,1.86,3.35,3.62,1.8,7.18,2,4,197.1,2.2706,0,0,0,0
4'-bromoacetophenone,8.44,1.86,3.35,3.62,1.8,7.18,2,4,197.1,2.2706,25,0,0,0
4'-bromoacetophenone,8.44,1.86,3.35,3.62,1.8,7.18,2,4,197.1,2.2706,25,60,18.2,1.8
4'-bromoacetophenone,8.44,1.86,3.35,3.62,1.8,7.18,2,4,197.1,2.2706,25,120,30.8,3
4'-bromoacetophenone,8.44,1.86,3.35,3.62,1.8,7.18,2,4,197.1,2.2706,25,480,57.7,10.8
4'-bromoacetophenone,8.44,1.86,3.35,3.62,1.8,7.18,2,4,197.1,2.2706,25,610,59.5,12.7
4'-bromoacetophenone,8.44,1.86,3.35,3.62,1.8,7.18,2,4,197.1,2.2706,50,0,0,0
4-bromobenzaldehyde,8.41,1.85,3.25,2.76,1.6,7.46,2,4,191.22,1.8923,25,15,2.3,0
4-bromobenzaldehyde,8.41,1.85,3.25,2.76,1.6,7.46,2,4,191.22,1.8923,25,30,8.1,0.1
4-bromobenzaldehyde,8.41,1.85,3.25,2.76,1.6,7.46,2,4,191.22,1.8923,25,45,17.5,0.4
4-bromobenzaldehyde,8.41,1.85,3.25,2.76,1.6,7.46,2,4,191.22,1.8923,25,60,27,0.7
4-bromobenzaldehyde,8.41,1.85,3.25,2.76,1.6,7.46,2,4,191.22,1.8923,25,90,41.1,1.3
4-bromobenzaldehyde,8.41,1.85,3.25,2.76,1.6,7.46,2,4,191.22,1.8923,25,120,48.1,1.8
4-bromobenzaldehyde,8.41,1.85,3.25,2.76,1.6,7.46,2,4,191.22,1.8923,25,150,52.6,2.2
4-bromobenzaldehyde,8.41,1.85,3.25,2.76,1.6,7.46,2,4,191.22,1.8923,25,180,55,2.8
4-bromobenzaldehyde,8.41,1.85,3.25,2.76,1.6,7.46,2,4,191.22,1.8923,25,210,55.9,3.2
4-bromobenzaldehyde,8.41,1.85,3.25,2.76,1.6,7.46,2,4,191.22,1.8923,25,240,56.6,3.7
4-bromobenzaldehyde,8.41,1.85,3.25,2.76,1.6,7.46,2,4,191.22,1.8923,25,270,57,4.3
4-bromobenzaldehyde,8.41,1.85,3.25,2.76,1.6,7.46,2,4,191.22,1.8923,25,300,57,4.8
4-bromobenzaldehyde,8.41,1.85,3.25,2.76,1.6,7.46,2,4,191.22,1.8923,25,330,57,5.5
4-bromobenzaldehyde,8.41,1.85,3.25,2.76,1.6,7.46,2,4,191.22,1.8923,25,360,57,6
4-bromobenzaldehyde,8.41,1.85,3.25,2.76,1.6,7.46,2,4,191.22,1.8923,50,0,0,0
4-bromobenzaldehyde,8.41,1.85,3.25,2.76,1.6,7.46,2,4,191.22,1.9197,0,0,0,0
4-bromobenzaldehyde,8.41,1.85,3.25,2.76,1.6,7.46,2,4,191.22,1.9197,0,0,0,0
4-bromobenzaldehyde,8.41,1.85,3.25,2.76,1.6,7.46,2,4,191.22,1.9197,25,0,0,0
4-bromobenzaldehyde,8.41,1.85,3.25,2.76,1.6,7.46,2,4,191.22,1.9197,50,0,0,0
4-bromobenzaldehyde,8.41,1.85,3.25,2.76,1.6,7.46,2,4,191.22,2.2706,25,30,48.58,2.45
4-bromobenzaldehyde,8.41,1.85,3.25,2.76,1.6,7.46,2,4,191.22,2.2706,25,45,52.04,3.49
4-bromobenzaldehyde,8.41,1.85,3.25,2.76,1.6,7.46,2,4,191.22,2.2706,25,60,53.26,4.51
4-phenylbenzaldehyde,11.18,2.08,3.26,2.77,1.65,9.91,2.5,5,192.2,1.9197,0,0,0,0
4-phenylbenzaldehyde,11.18,2.08,3.26,2.77,1.65,9.91,2.5,5,192.2,1.9197,0,120,10.2,0
4-phenylbenzaldehyde,11.18,2.08,3.26,2.77,1.65,9.91,2.5,5,192.2,1.9197,0,240,26,0
4-phenylbenzaldehyde,11.18,2.08,3.26,2.77,1.65,9.91,2.5,5,192.2,1.9197,0,1440,46,0.9
4-phenylbenzaldehyde,11.18,2.08,3.26,2.77,1.65,9.91,2,4,192.2,1.9197,25,240,56.64,2.36
5-methylthiophene-2-carboxaldehyde,7.5,1.8,3.29,2.65,1.6,6.34,2.5,5,182.9,1.9197,0,0,0,0
5-methylthiophene-2-carboxaldehyde,7.5,1.8,3.29,2.65,1.6,6.34,2.5,5,182.9,1.9197,25,30,50.8,1.4
5-methylthiophene-2-carboxaldehyde,7.5,1.8,3.29,2.65,1.6,6.34,2.5,5,182.9,1.9197,25,120,64.8,4.9
5-methylthiophene-2-carboxaldehyde,7.5,1.8,3.29,2.65,1.6,6.34,2.5,5,182.9,1.9197,50,0,0,0
ciprofibrate aldehyde,5.22,2.81,10.65,4.09,2.14,10.67,2,4,203.3,2.2706,0,0,0,0
ciprofibrate aldehyde,5.22,2.81,10.65,4.09,2.14,10.67,2,4,203.3,2.2706,25,60,61.6,1.9
ciprofibrate aldehyde,5.22,2.81,10.65,4.09,2.14,10.67,2,4,203.3,2.2706,50,0,0,0
diphenylacetaldehyde,5.96,2.39,6.29,4.21,2.21,7.21,2.5,5,198.8,1.9197,0,0,0,0
diphenylacetaldehyde,5.96,2.39,6.29,4.21,2.21,7.21,2.5,5,198.8,1.9197,25,0,0,0
diphenylacetaldehyde,5.96,2.39,6.29,4.21,2.21,7.21,2.5,5,198.8,1.9197,25,30,7.8,0
diphenylacetaldehyde,5.96,2.39,6.29,4.21,2.21,7.21,2.5,5,198.8,1.9197,25,120,45.4,0
diphenylacetaldehyde,5.96,2.39,6.29,4.21,2.21,7.21,2.5,5,198.8,1.9197,25,250,75.8,0
diphenylacetaldehyde,5.96,2.39,6.29,4.21,2.21,7.21,2.5,5,198.8,1.9197,25,420,86.8,0.6
diphenylacetaldehyde,5.96,2.39,6.29,4.21,2.21,7.21,2.5,5,198.8,1.9197,50,0,0,0
gemfibrozil aldehyde,10.7,2.85,10.09,2.61,2.03,8.24,2.5,5,206.4,1.9197,0,0,0,0
gemfibrozil aldehyde,10.7,2.85,10.09,2.61,2.03,8.24,2.5,5,206.4,1.9197,25,0,0,0
gemfibrozil aldehyde,10.7,2.85,10.09,2.61,2.03,8.24,2.5,5,206.4,1.9197,25,360,77.8,1.6
gemfibrozil aldehyde,10.7,2.85,10.09,2.61,2.03,8.24,2.5,5,206.4,1.9197,25,540,84.3,2.2
gemfibrozil aldehyde,10.7,2.85,10.09,2.61,2.03,8.24,2.5,5,206.4,1.9197,50,0,0,0
hydrocinnamaldehyde,9.04,2,3.64,2.6,1.9,7.46,2.5,5,201.65,1.9197,0,0,0,0
hydrocinnamaldehyde,9.04,2,3.64,2.6,1.9,7.46,2.5,5,201.65,1.9197,0,380,47.4,1.8
hydrocinnamaldehyde,9.04,2,3.64,2.6,1.9,7.46,2.5,5,201.65,1.9197,0,995,51.2,3.2
hydrocinnamaldehyde,9.04,2,3.64,2.6,1.9,7.46,2.5,5,201.65,1.9197,0,1440,58.2,4.1
hydrocinnamaldehyde,9.04,2,3.64,2.6,1.9,7.46,2.5,5,201.65,1.9197,25,0,0,0
hydrocinnamaldehyde,9.04,2,3.64,2.6,1.9,7.46,2.5,5,201.65,1.9197,25,10,7,0
hydrocinnamaldehyde,9.04,2,3.64,2.6,1.9,7.46,2.5,5,201.65,1.9197,25,60,46.9,2.1
ibuprofen aldehyde,5.75,2,9.88,6.11,1.81,9.74,2.5,5,201.5,1.9197,0,0,0,0
ibuprofen aldehyde,5.75,2,9.88,6.11,1.81,9.74,2.5,5,201.5,1.9197,25,0,0,0
ibuprofen aldehyde,5.75,2,9.88,6.11,1.81,9.74,2.5,5,201.5,1.9197,25,30,17.5,0
ibuprofen aldehyde,5.75,2,9.88,6.11,1.81,9.74,2.5,5,201.5,1.9197,25,120,53.7,1.1
ibuprofen aldehyde,5.75,2,9.88,6.11,1.81,9.74,2.5,5,201.5,1.9197,25,270,75.5,1.9
